,Composition,Synth. Probability,Half Heusler (F-43m),Experimental Structure,Electron Count,Label
1170,TmPdBi,0.996,0,Half Heusler (F-43m),36,Half Heusler
1461,TmPtBi,0.996,0,Half Heusler (F-43m),30,Half Heusler
1169,HoPtBi,0.996,0,Half Heusler (F-43m),28,Half Heusler
1421,HoNiBi,0.995,0,Half Heusler (F-43m),28,Half Heusler
1823,ErPdBi,0.995,0,Half Heusler (F-43m),35,Half Heusler
1443,HoPdBi,0.993,0,Half Heusler (F-43m),34,Half Heusler
1481,DyNiBi,0.993,0,Half Heusler (F-43m),27,Half Heusler
1902,DyPtBi,0.993,0,Half Heusler (F-43m),27,Half Heusler
1493,LuPdBi,0.992,0,Half Heusler (F-43m),24,Half Heusler
1402,ErPtBi,0.992,0,Half Heusler (F-43m),29,Half Heusler
1254,GdPtBi,0.989,0,Half Heusler (F-43m),18,Half Heusler
1851,TmNiBi,0.988,0,Half Heusler (F-43m),30,Half Heusler
1332,TbPtBi,0.987,0,Half Heusler (F-43m),26,Half Heusler
1531,ErNiBi,0.987,0,Half Heusler (F-43m),29,Half Heusler
1242,TbPdBi,0.986,0,Half Heusler (F-43m),32,Half Heusler
1223,GdPdBi,0.985,0,Half Heusler (F-43m),24,Half Heusler
1871,DyPtSb,0.984,0,Half Heusler (F-43m),27,Half Heusler
1713,ErPdSb,0.984,0,Half Heusler (F-43m),35,Half Heusler
1641,TmPtSb,0.982,0,Half Heusler (F-43m),30,Half Heusler
1422,HoPtSb,0.981,0,Half Heusler (F-43m),28,Half Heusler
1901,TiRhSb,0.979,0,Half Heusler (F-43m),18,Half Heusler
1514,LuNiBi,0.979,0,Half Heusler (F-43m),18,Half Heusler
1442,ScPdBi,0.979,0,Half Heusler (F-43m),24,Half Heusler
1722,ErPtSb,0.979,0,Half Heusler (F-43m),29,Half Heusler
1542,TbNiBi,0.979,0,Half Heusler (F-43m),26,Half Heusler
1441,GdNiBi,0.978,0,Half Heusler (F-43m),18,Half Heusler
1911,SmPdBi,0.977,0,Half Heusler (F-43m),29,Half Heusler
1412,ErNiSb,0.977,0,Half Heusler (F-43m),29,Half Heusler
1592,TmPdSb,0.976,0,Half Heusler (F-43m),36,Half Heusler
1241,HoPdSb,0.976,0,Half Heusler (F-43m),34,Half Heusler
1492,LuPtBi,0.97,0,Half Heusler (F-43m),18,Half Heusler
1411,YNiBi,0.968,0,Half Heusler (F-43m),18,Half Heusler
1292,CePdBi,0.962,0,Half Heusler (F-43m),24,Half Heusler
1863,PrPdBi,0.962,0,Half Heusler (F-43m),26,Half Heusler
1903,YPtBi,0.962,0,Half Heusler (F-43m),18,Half Heusler
1491,MgPdSb,0.96,0,Half Heusler (F-43m),29,Half Heusler
1812,HoNiSb,0.956,0,Half Heusler (F-43m),28,Half Heusler
1351,DyNiSb,0.956,0,Half Heusler (F-43m),27,Half Heusler
1572,ScPdSb,0.953,0,Half Heusler (F-43m),24,Half Heusler
1912,SmNiBi,0.95,0,Half Heusler (F-43m),23,Half Heusler
1391,ScNiBi,0.949,0,Half Heusler (F-43m),18,Half Heusler
1341,HoAuPb,0.948,0,Half Heusler (F-43m),28,Half Heusler
1595,LuPtSb,0.947,0,Half Heusler (F-43m),18,Half Heusler
1571,ErAuPb,0.945,0,Half Heusler (F-43m),29,Half Heusler
1512,ScPtSb,0.943,0,Half Heusler (F-43m),18,Half Heusler
1861,MnPtSb,0.942,0,Half Heusler (F-43m),22,Half Heusler
1401,ZrRhSb,0.941,0,Half Heusler (F-43m),18,Half Heusler
1651,GdPtSb,0.937,0,Half Heusler (F-43m),18,Half Heusler
1211,TiCoSb,0.937,0,Half Heusler (F-43m),18,Half Heusler
1561,MgPtSb,0.935,0,Half Heusler (F-43m),23,Half Heusler
1721,LuNiSb,0.935,0,Half Heusler (F-43m),18,Half Heusler
1541,NdPtBi,0.931,0,Half Heusler (F-43m),21,Half Heusler
1222,DyAuPb,0.929,0,Half Heusler (F-43m),27,Half Heusler
1761,MgNiSb,0.924,0,Half Heusler (F-43m),23,Half Heusler
1191,ZrCoBi,0.923,0,Half Heusler (F-43m),18,Half Heusler
1282,NdNiBi,0.92,0,Half Heusler (F-43m),21,Half Heusler
1741,TmNiSb,0.918,0,Half Heusler (F-43m),30,Half Heusler
1381,CePtBi,0.916,0,Half Heusler (F-43m),18,Half Heusler
1521,PrNiBi,0.91,0,Half Heusler (F-43m),20,Half Heusler
1302,HfCoSb,0.91,0,Half Heusler (F-43m),18,Half Heusler
1621,ZrPtSn,0.907,0,Half Heusler (F-43m),18,Half Heusler
1511,ScNiSb,0.905,0,Half Heusler (F-43m),18,Half Heusler
1253,HfRhSb,0.896,0,Half Heusler (F-43m),18,Half Heusler
1501,TbNiSb,0.894,0,Half Heusler (F-43m),26,Half Heusler
1591,MnNiSb,0.887,0,Half Heusler (F-43m),22,Half Heusler
1451,TiPtSn,0.886,0,Half Heusler (F-43m),18,Half Heusler
1251,MgNiBi,0.885,0,Half Heusler (F-43m),23,Half Heusler
1513,TbPtSb,0.879,0,Half Heusler (F-43m),26,Half Heusler
1792,ZrCoSb,0.879,0,Half Heusler (F-43m),18,Half Heusler
1393,LiZnSb,0.868,0,LiGaGe (P63mc),20,Common non-HH Prototype
1594,NbRuSb,0.866,0,Half Heusler (F-43m),18,Half Heusler
1221,YPdSb,0.857,0,Half Heusler (F-43m),24,Half Heusler
1842,MnRhSb,0.855,0.062895265,Half Heusler (F-43m),21,Half Heusler
1331,ZrPdSn,0.85,0,Half Heusler (F-43m),24,Half Heusler
1522,YbPtBi,0.849,0.004762193,Half Heusler (F-43m),31,Half Heusler
1712,TaRuSb,0.842,0,Half Heusler (F-43m),18,Half Heusler
1261,YPtSb,0.84,0,Half Heusler (F-43m),18,Half Heusler
1252,NbFeSb,0.82,0,Half Heusler (F-43m),18,Half Heusler
1562,MnPdSb,0.82,0.023858256,Half Heusler (F-43m),28,Half Heusler
1148,HfIrSn,0.819,0,MoNiP (P-62m),17,Common non-HH Prototype
1714,PrPtSb,0.807,0,[NdPtSb],20,Other non-HH Prototype
1652,HfPdSn,0.804,0,Half Heusler (F-43m),24,Half Heusler
1283,NbRhSb,0.802,0.153464854,Half Heusler (F-43m),19,Half Heusler
1494,TiNiSb,0.802,0.046480015,Half Heusler (F-43m),19,Half Heusler
1782,NbCoSb,0.799,0.146686655,Half Heusler (F-43m),19,Half Heusler
1392,MnAuSb,0.788,0.075456036,Half Heusler (F-43m),23,Half Heusler
1622,CeLiSn,0.781,0.153906905,Half Heusler (F-43m),10,Half Heusler
1482,PrLiSn,0.76,0.159987765,Half Heusler (F-43m),12,Half Heusler
1873,LaPtBi,0.759,0,Half Heusler (F-43m),18,Half Heusler
1293,VRuSb,0.751,0.063060767,Half Heusler (F-43m),18,Half Heusler
1232,NiZnSb,0.751,0,Half Heusler (F-43m),27,Half Heusler
1593,HfPtSn,0.748,0,Half Heusler (F-43m),18,Half Heusler
1601,TiRuSb,0.739,0.105684294,Half Heusler (F-43m),17,Half Heusler
1303,LaPdBi,0.738,0,Half Heusler (F-43m),24,Half Heusler
1864,ZrRhBi,0.732,0,Half Heusler (F-43m),18,Half Heusler
1301,MgCuSb,0.732,0,Half Heusler (F-43m),24,Half Heusler
1281,TbAuPb,0.728,0,Half Heusler (F-43m),26,Half Heusler
1231,ThPtSn,0.725,0,Half Heusler (F-43m),18,Half Heusler
616,ZrNiSb,0.723,0.029495697,MgSrSi (Pnma),19,Common non-HH Prototype
1811,ThRhSb,0.721,0,Half Heusler (F-43m),18,Half Heusler
1862,TmAuSn,0.718,0,Half Heusler (F-43m),30,Half Heusler
1573,YbPdBi,0.717,0.013663604,Half Heusler (F-43m),37,Half Heusler
1708,ZrFeSb,0.699,0.033697759,MgSrSi (Pnma),17,Common non-HH Prototype
1452,LuAuSn,0.692,0,Half Heusler (F-43m),18,Half Heusler
1672,LiGaGe,0.689,0,LiGaGe (P63mc),10,Common non-HH Prototype
1612,GdAuPb,0.682,0,Half Heusler (F-43m),18,Half Heusler
49,CrMnSb,0.675,0.226024998,[InNi2#Co1.75Ge],18,Other non-HH Prototype
